,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p
0,ENSDARG00000074869,0.0,ENSDARG00000019353,0.0,ENSDARG00000054155,0.0,ENSDARG00000004754,0.0,ENSDARG00000004023,4.519117167685176e-168,ENSDARG00000000503,8.543559169183156e-262,ENSDARG00000032651,2.9929022454347207e-74,ENSDARG00000002190,7.750208912571304e-262,ENSDARG00000002403,0.0,ENSDARG00000013750,9.742371273376815e-50,ENSDARG00000016837,0.0,ENSDARG00000028213,0.0,ENSDARG00000058548,0.0,ENSDARG00000062363,0.0,ENSDARG00000099101,1.776045771254319e-166,ENSDARG00000096829,0.0,ENSDARG00000013750,1.7485070982982164e-42,ENSDARG00000052712,8.197263579871331e-224,ENSDARG00000011400,0.0,ENSDARG00000013522,2.5053586789892016e-97,ENSDARG00000023151,1.0410787095029004e-213,ENSDARG00000009153,4.173639270496663e-211,ENSDARG00000011693,8.298196503736293e-163,ENSDARG00000059775,8.768228146952929e-179,ENSDARG00000007823,7.484862798168789e-88,ENSDARG00000077620,2.1266593147675404e-122,ENSDARG00000100482,7.112500533990621e-110,ENSDARG00000099730,5.756819547099388e-45,ENSDARG00000090716,9.76806374584225e-09
1,ENSDARG00000019353,1.8229889292476215e-254,ENSDARG00000004906,2.5528369082218274e-267,ENSDARG00000101180,8.508196561862892e-248,ENSDARG00000004906,2.900757533264093e-292,ENSDARG00000030614,8.857521210609916e-162,ENSDARG00000030614,2.0175145256448695e-257,ENSDARG00000004754,1.1581592153185264e-41,ENSDARG00000015422,1.1976784598611358e-236,ENSDARG00000091150,0.0,ENSDARG00000074552,1.4307492039363674e-39,ENSDARG00000030716,0.0,ENSDARG00000058656,0.0,ENSDARG00000038980,3.989667928475993e-291,ENSDARG00000102047,0.0,ENSDARG00000044781,8.944850728803044e-145,ENSDARG00000023820,1.263499328068386e-47,ENSDARG00000036820,2.9149539853971368e-36,ENSDARG00000012194,1.8473388346781778e-187,ENSDARG00000043371,2.0553111726269253e-212,ENSDARG00000040466,2.289178256677413e-90,ENSDARG00000039211,1.1915547997604746e-139,ENSDARG00000009830,3.924686236822675e-64,ENSDARG00000044935,1.1856447202612584e-145,ENSDARG00000024204,9.71939745076632e-173,ENSDARG00000029795,1.6926333103239228e-58,ENSDARG00000019228,2.8535611945415205e-121,ENSDARG00000017454,1.3858631948755879e-90,ENSDARG00000005423,3.988946318843231e-39,ENSDARG00000021033,9.812142147775414e-09
2,ENSDARG00000055009,4.798927275075315e-144,ENSDARG00000007823,3.12339603591153e-193,ENSDARG00000037188,1.2541086484758143e-224,ENSDARG00000100317,5.496911677575094e-177,ENSDARG00000099184,3.073187753466841e-147,ENSDARG00000009106,7.692609220116861e-225,ENSDARG00000041332,2.189108133408065e-39,ENSDARG00000012341,2.950631334171334e-225,ENSDARG00000037640,0.0,ENSDARG00000040198,5.8188064430836166e-37,ENSDARG00000076416,2.044119493594016e-295,ENSDARG00000056090,4.2745607711201984e-212,ENSDARG00000040072,5.429803114778432e-276,ENSDARG00000054609,0.0,ENSDARG00000006215,3.733174052778045e-126,ENSDARG00000003207,7.004019212340635e-23,ENSDARG00000025301,5.520203779612172e-33,ENSDARG00000020387,2.539258581624898e-155,ENSDARG00000011146,2.8692983412394025e-204,ENSDARG00000057035,3.8135700000921293e-88,ENSDARG00000092858,2.5043010302779382e-138,ENSDARG00000006766,2.4716724850116944e-61,ENSDARG00000101762,8.821708651170581e-72,ENSDARG00000007405,3.969844761420532e-157,ENSDARG00000004754,7.366524422981686e-46,ENSDARG00000002304,2.193643936701713e-120,ENSDARG00000070448,8.056773620258372e-89,ENSDARG00000058226,2.3022858276441252e-26,ENSDARG00000078599,9.993329361558491e-09
3,ENSDARG00000102885,7.394922413668843e-124,ENSDARG00000004754,1.7440501635291516e-185,ENSDARG00000060041,1.282167923731317e-208,ENSDARG00000023188,5.482141779349859e-172,ENSDARG00000068708,3.3331411543067395e-135,ENSDARG00000001994,2.681902962881966e-202,ENSDARG00000090872,6.632142651278126e-35,ENSDARG00000002745,9.540715061054971e-215,ENSDARG00000078654,0.0,ENSDARG00000011146,2.799690641108651e-34,ENSDARG00000062315,5.37595477257747e-290,ENSDARG00000011146,5.778624154293061e-210,ENSDARG00000017049,3.150154346467297e-269,ENSDARG00000017454,0.0,ENSDARG00000029905,3.658625048276252e-71,ENSDARG00000102995,1.905573134726382e-19,ENSDARG00000019353,3.0584030083024806e-22,ENSDARG00000023151,2.8468050215822403e-153,ENSDARG00000007745,4.658431812451187e-96,ENSDARG00000023820,3.4002672175602274e-80,ENSDARG00000012194,1.1505073362612495e-127,ENSDARG00000013522,3.7653105575616736e-59,ENSDARG00000020143,2.5678309402171927e-54,ENSDARG00000056985,2.831684935763954e-153,ENSDARG00000032651,3.513746219985908e-28,ENSDARG00000102798,2.7846653767277134e-120,ENSDARG00000034883,1.0316777356520136e-88,ENSDARG00000036371,6.797711010839794e-25,ENSDARG00000037020,1.015589782051869e-08
4,ENSDARG00000021242,5.018675534117837e-118,ENSDARG00000100317,5.801486348046671e-160,ENSDARG00000101707,5.755065543932756e-188,ENSDARG00000021046,1.0375370258455046e-163,ENSDARG00000008735,1.4155282083259939e-133,ENSDARG00000008735,1.593078339144619e-166,ENSDARG00000016871,2.177414321277653e-34,ENSDARG00000021242,1.5155105712400303e-118,ENSDARG00000038066,0.0,ENSDARG00000029936,6.652903222321263e-27,ENSDARG00000005536,1.8045535602122484e-269,ENSDARG00000008433,6.325430508518048e-204,ENSDARG00000003411,9.770646843042594e-266,ENSDARG00000099101,0.0,ENSDARG00000020448,1.993626818988896e-63,ENSDARG00000011400,1.3650970158371526e-16,ENSDARG00000087556,1.8531679151109383e-19,ENSDARG00000029905,1.0622871221868317e-140,ENSDARG00000010149,2.3050080757913192e-95,ENSDARG00000006215,4.342103118427927e-79,ENSDARG00000104702,5.897398091025415e-122,ENSDARG00000079202,2.246348779822953e-27,ENSDARG00000023151,9.148555855151825e-48,ENSDARG00000038980,8.079888350506595e-149,ENSDARG00000039269,6.591388978131279e-26,ENSDARG00000040041,4.278525165638765e-115,ENSDARG00000046074,1.4422280247339618e-87,ENSDARG00000023578,1.6321867927409093e-20,ENSDARG00000004581,1.0259682810369335e-08
5,ENSDARG00000023578,9.929356560918324e-115,ENSDARG00000069093,2.0349296723029314e-122,ENSDARG00000039208,6.359624514809359e-183,ENSDARG00000012450,3.8449373058042205e-97,ENSDARG00000100170,2.2987631028810005e-122,ENSDARG00000037020,1.5370261946249261e-136,ENSDARG00000063535,5.804220028479421e-32,ENSDARG00000027154,7.443705032717187e-113,ENSDARG00000024488,2.5466699114098657e-298,ENSDARG00000042840,1.0821566438290133e-25,ENSDARG00000044569,1.0839769471103804e-268,ENSDARG00000023536,1.9385457672165936e-202,ENSDARG00000087784,1.7972056120864403e-248,ENSDARG00000009153,0.0,ENSDARG00000029036,1.1715947143911143e-59,ENSDARG00000033184,1.2691883769762618e-15,ENSDARG00000098766,4.7971453083469345e-19,ENSDARG00000053405,7.513739931000388e-129,ENSDARG00000028889,1.5368120177115653e-80,ENSDARG00000032639,1.4411903920869567e-66,ENSDARG00000013522,5.0050248678236537e-113,ENSDARG00000061169,6.125396915812266e-23,ENSDARG00000019353,5.542387662330247e-34,ENSDARG00000073710,8.798181261575134e-148,ENSDARG00000100170,3.73593357267425e-20,ENSDARG00000019507,2.2317851443142048e-113,ENSDARG00000054609,8.660702136539348e-84,ENSDARG00000034801,4.8575793222249907e-20,ENSDARG00000070567,1.0275740952983518e-08
6,ENSDARG00000020845,7.087255971904407e-99,ENSDARG00000032651,2.906651449128758e-71,ENSDARG00000097691,3.050078147215329e-161,ENSDARG00000008447,8.246595806108434e-92,ENSDARG00000036848,2.54612977316882e-116,ENSDARG00000014273,6.028053919947752e-116,ENSDARG00000100317,2.0666327882621347e-31,ENSDARG00000042544,1.587251556436589e-111,ENSDARG00000100741,8.919946186573466e-284,ENSDARG00000087556,2.8236206545637464e-23,ENSDARG00000059775,1.0200648666387634e-267,ENSDARG00000036684,2.4093245377326225e-183,ENSDARG00000102047,1.3864789710227101e-238,ENSDARG00000036371,0.0,ENSDARG00000063095,1.6318673957749315e-47,ENSDARG00000058226,8.615387472326005e-15,ENSDARG00000102412,2.3775926178334178e-18,ENSDARG00000011693,1.4631367865035719e-126,ENSDARG00000042644,8.803175934931136e-73,ENSDARG00000029795,1.6906356923228456e-55,ENSDARG00000036237,6.842856981204147e-112,ENSDARG00000023536,1.3192581115464803e-10,ENSDARG00000040695,7.941283832718797e-14,ENSDARG00000100741,2.913719433038263e-147,ENSDARG00000021242,3.216052300413798e-19,ENSDARG00000042458,2.461476731625626e-113,ENSDARG00000009153,7.805615892186766e-83,ENSDARG00000004672,5.610623303530369e-19,ENSDARG00000016584,1.0293835563532558e-08
7,ENSDARG00000061579,4.5719844146583857e-98,ENSDARG00000008447,1.022019252063909e-65,ENSDARG00000019507,2.1358499224508342e-154,ENSDARG00000101334,9.677044736274896e-90,ENSDARG00000001940,2.1911700965481575e-115,ENSDARG00000104139,2.533374382607721e-106,ENSDARG00000100244,4.672386227489044e-30,ENSDARG00000053979,2.1401429696239539e-106,ENSDARG00000011094,6.442867561485211e-269,ENSDARG00000020798,3.5058508460074866e-20,ENSDARG00000073710,3.0049220940148344e-264,ENSDARG00000043371,7.85964845368304e-183,ENSDARG00000090568,1.9808216074722308e-232,ENSDARG00000005500,0.0,ENSDARG00000010032,2.7467021937297933e-37,ENSDARG00000059646,1.3559236101891924e-13,ENSDARG00000001873,4.630454757225552e-18,ENSDARG00000053485,3.950320867928502e-126,ENSDARG00000058656,3.4245941208789415e-61,ENSDARG00000036481,6.865261131531555e-53,ENSDARG00000036481,9.293600612324383e-94,ENSDARG00000098431,1.7812058903594941e-09,ENSDARG00000005023,5.453513454417057e-09,ENSDARG00000102047,3.2106553337084388e-142,ENSDARG00000018524,3.4642567089688807e-19,ENSDARG00000024204,2.710554996726414e-112,ENSDARG00000013561,9.466214354566572e-81,ENSDARG00000056964,3.278669036495108e-17,ENSDARG00000063031,1.033617683813683e-08
8,ENSDARG00000034801,1.731221215167337e-97,ENSDARG00000040695,1.4404270039639178e-65,ENSDARG00000014017,1.3782007311724066e-150,ENSDARG00000016255,1.3135729896520653e-86,ENSDARG00000003411,3.233088481781789e-115,ENSDARG00000031720,2.9766423277967835e-105,ENSDARG00000089787,3.3644046558467636e-26,ENSDARG00000007867,8.872077507898164e-99,ENSDARG00000078433,1.7172840264852988e-255,ENSDARG00000104139,9.90962405775062e-19,ENSDARG00000003776,7.183227299612404e-262,ENSDARG00000036371,5.731567806142798e-179,ENSDARG00000095879,7.134012902354796e-228,ENSDARG00000056985,0.0,ENSDARG00000043511,2.61490451858704e-36,ENSDARG00000098431,1.9565551106738723e-12,ENSDARG00000000730,8.849799489537267e-18,ENSDARG00000062549,1.006227719560125e-117,ENSDARG00000103364,5.754346477971116e-54,ENSDARG00000012194,1.1371152205258935e-48,ENSDARG00000018149,2.4695348421843628e-87,ENSDARG00000054848,5.607556979094403e-09,ENSDARG00000098588,6.695398015704874e-09,ENSDARG00000002536,1.1351562207117591e-141,ENSDARG00000019420,3.022344083030668e-17,ENSDARG00000078433,4.135283394302758e-112,ENSDARG00000026664,5.985179316790299e-79,ENSDARG00000008568,5.177961550010722e-17,ENSDARG00000001994,1.0445833159708057e-08
9,ENSDARG00000038429,5.335667296158057e-96,ENSDARG00000010085,3.406496077850735e-64,ENSDARG00000102798,1.781990268493268e-142,ENSDARG00000013968,7.239452848775496e-81,ENSDARG00000033364,1.7300703075371685e-108,ENSDARG00000098280,4.969666925583978e-100,ENSDARG00000040198,1.8991136432215e-23,ENSDARG00000104018,6.021944702879544e-95,ENSDARG00000001558,3.844846721785469e-239,ENSDARG00000061580,2.9476522270378775e-16,ENSDARG00000031720,3.332141074661182e-257,ENSDARG00000010149,2.690483575787385e-159,ENSDARG00000101061,7.623896009610089e-225,ENSDARG00000037188,0.0,ENSDARG00000062558,5.622456996230073e-34,ENSDARG00000018782,1.6281079333431332e-11,ENSDARG00000039041,2.7573686385761615e-16,ENSDARG00000013561,3.463510916270173e-108,ENSDARG00000104139,5.8267767345283764e-37,ENSDARG00000079932,2.9074130962560147e-47,ENSDARG00000023820,9.339986823729855e-76,ENSDARG00000098639,1.1195551739651211e-08,ENSDARG00000074869,1.1138374519993505e-07,ENSDARG00000004843,1.0372746020234164e-135,ENSDARG00000062549,1.4959769977085438e-13,ENSDARG00000056985,6.689059723281644e-112,ENSDARG00000073710,2.455567950772066e-75,ENSDARG00000045658,7.787540350147093e-17,ENSDARG00000007886,1.0472400291900494e-08
10,ENSDARG00000100729,1.1048084996055717e-91,ENSDARG00000098431,2.0437746907401787e-61,ENSDARG00000042458,3.331235873977313e-134,ENSDARG00000012729,7.887956989283998e-75,ENSDARG00000045417,7.898011898519743e-103,ENSDARG00000002131,4.222262051424525e-96,ENSDARG00000042840,2.9913464172615834e-23,ENSDARG00000099448,8.481056015015477e-87,ENSDARG00000097691,8.319706250602436e-234,ENSDARG00000098431,6.085867828996521e-16,ENSDARG00000102874,1.6169527784086964e-255,ENSDARG00000098883,7.392702748785911e-154,ENSDARG00000104071,1.6700394183878043e-224,ENSDARG00000018491,0.0,ENSDARG00000020143,5.757830731495429e-28,ENSDARG00000002405,3.270913233029816e-11,ENSDARG00000087784,3.287645735673517e-16,ENSDARG00000104702,2.582788091033769e-105,ENSDARG00000017049,9.791666919754454e-36,ENSDARG00000033364,3.347123526721661e-45,ENSDARG00000011693,1.2655219939338633e-74,ENSDARG00000036164,2.1887312656269447e-08,ENSDARG00000018010,1.28648915408104e-07,ENSDARG00000099101,2.533785158494802e-135,ENSDARG00000100482,1.338194755392787e-12,ENSDARG00000010487,1.5233006240909172e-111,ENSDARG00000059775,1.4027950690625771e-74,ENSDARG00000103095,4.844745871836561e-16,ENSDARG00000063069,1.0606224095934948e-08
11,ENSDARG00000010276,2.1047250725373736e-87,ENSDARG00000102059,4.933808934577708e-58,ENSDARG00000002304,1.3681323196981648e-127,ENSDARG00000100083,1.6161435449902006e-64,ENSDARG00000061124,1.8572170051557675e-101,ENSDARG00000100055,5.18985968202904e-96,ENSDARG00000052419,2.536672774396774e-22,ENSDARG00000042717,1.3292183887439907e-73,ENSDARG00000101707,5.465787660737514e-197,ENSDARG00000018782,2.011363234013035e-15,ENSDARG00000063095,2.6780503590781473e-253,ENSDARG00000031796,4.268203656076341e-143,ENSDARG00000070448,1.6487002053085048e-221,ENSDARG00000005551,0.0,ENSDARG00000053656,1.804939749579508e-27,ENSDARG00000102202,7.217224807076486e-11,ENSDARG00000057452,3.8626184873942346e-15,ENSDARG00000036237,2.054620068887664e-101,ENSDARG00000038075,1.2582370507388727e-25,ENSDARG00000042544,2.556323179285915e-41,ENSDARG00000100482,2.2858846475541823e-74,ENSDARG00000024324,2.5012865857867657e-08,ENSDARG00000074301,4.867334014933978e-07,ENSDARG00000013561,1.2019816990663646e-134,ENSDARG00000009488,1.489686526209958e-12,ENSDARG00000057683,2.4675564116874824e-111,ENSDARG00000100013,2.5976915093652446e-73,ENSDARG00000042115,6.042621509523196e-16,ENSDARG00000037358,1.0724943892031578e-08
12,ENSDARG00000102889,1.535784429107713e-80,ENSDARG00000001557,2.5613174276937467e-57,ENSDARG00000040041,2.8279571815107677e-126,ENSDARG00000103271,1.3124934652207259e-62,ENSDARG00000056510,6.2078069358148045e-96,ENSDARG00000090872,1.2290955681535432e-89,ENSDARG00000042115,3.384680041793783e-21,ENSDARG00000070043,1.929145050558204e-72,ENSDARG00000058328,1.1292072946606087e-194,ENSDARG00000008735,6.185882322206873e-15,ENSDARG00000102047,1.1396598398004792e-252,ENSDARG00000052712,4.229834063585024e-140,ENSDARG00000055357,1.1462687974453054e-220,ENSDARG00000026664,0.0,ENSDARG00000005823,3.2612730027568904e-27,ENSDARG00000042630,1.3578970644088458e-10,ENSDARG00000040695,3.4268621643280024e-14,ENSDARG00000035544,5.352715512239195e-100,ENSDARG00000054458,1.6186173771433027e-25,ENSDARG00000052712,4.5596687537067466e-41,ENSDARG00000074507,1.7574618143110719e-72,ENSDARG00000013670,2.664436963860886e-08,ENSDARG00000098431,1.1548425617091697e-06,ENSDARG00000010487,6.968779673747956e-133,ENSDARG00000021059,3.1820126250165985e-12,ENSDARG00000101707,4.275428083600768e-111,ENSDARG00000040072,1.77552569772957e-72,ENSDARG00000010276,6.322730300586776e-16,ENSDARG00000060978,1.0790051962694734e-08
13,ENSDARG00000059177,1.6524419817570875e-77,ENSDARG00000105117,1.6845806200495149e-50,ENSDARG00000077620,1.2367642524648358e-125,ENSDARG00000040072,2.3703901712126104e-62,ENSDARG00000014361,2.355929664063814e-93,ENSDARG00000070567,2.1212853097795933e-88,ENSDARG00000013475,6.2027521021962785e-21,ENSDARG00000052170,8.839939181843927e-71,ENSDARG00000014017,3.7094057039435746e-192,ENSDARG00000007745,6.445863607191758e-15,ENSDARG00000036371,4.056581556511646e-252,ENSDARG00000074552,6.913404879058869e-139,ENSDARG00000004843,4.709421885141381e-215,ENSDARG00000013561,0.0,ENSDARG00000000690,1.1520634734718523e-24,ENSDARG00000040314,4.4176307610757393e-10,ENSDARG00000026137,4.900679955592399e-13,ENSDARG00000045888,2.0438789818484244e-96,ENSDARG00000036684,9.106923143057965e-24,ENSDARG00000100531,8.453988760843125e-40,ENSDARG00000094857,7.593771586147504e-70,ENSDARG00000078619,4.333521540454014e-08,ENSDARG00000077121,1.8201788123223786e-06,ENSDARG00000053950,1.2216303138442434e-130,ENSDARG00000021607,5.385317523304865e-12,ENSDARG00000059775,2.275526226115239e-110,ENSDARG00000105018,7.797507336492519e-69,ENSDARG00000061580,1.6737524467385137e-15,ENSDARG00000041728,1.080058917576291e-08
14,ENSDARG00000077304,3.083178053308924e-75,ENSDARG00000005023,1.0154159828976702e-45,ENSDARG00000057683,2.6940684257118194e-118,ENSDARG00000100729,2.491795484890209e-57,ENSDARG00000020798,3.2249040905575656e-92,ENSDARG00000020798,7.014800351068491e-86,ENSDARG00000018782,5.17309251150297e-20,ENSDARG00000037267,1.597971483431813e-69,ENSDARG00000054155,4.4250712397020014e-192,ENSDARG00000005372,1.573000077418432e-14,ENSDARG00000005945,1.5564945231596987e-235,ENSDARG00000103364,1.4620253957598725e-124,ENSDARG00000079202,1.7608746123412778e-214,ENSDARG00000006766,0.0,ENSDARG00000016706,1.9448763822675498e-24,ENSDARG00000079687,1.4885090285153536e-09,ENSDARG00000021607,2.0899190131855294e-12,ENSDARG00000013522,5.178893172545601e-96,ENSDARG00000056583,1.5185294725957113e-23,ENSDARG00000052271,1.0023418777854521e-36,ENSDARG00000039269,3.0517218862463787e-68,ENSDARG00000059646,5.532183813242321e-08,ENSDARG00000079564,4.090337813870249e-06,ENSDARG00000102798,9.891902765986977e-130,ENSDARG00000093864,6.486277778195833e-12,ENSDARG00000060041,1.6368892402583116e-109,ENSDARG00000039208,1.9402262802088113e-68,ENSDARG00000060288,2.948721812867574e-15,ENSDARG00000031720,1.0912900276782046e-08
15,ENSDARG00000041869,5.9373154633636335e-74,ENSDARG00000058108,1.6964808089138409e-38,ENSDARG00000003938,1.9748561156888122e-117,ENSDARG00000021343,3.890032316925179e-57,ENSDARG00000054793,9.554526392806039e-91,ENSDARG00000008032,2.8902261406972666e-85,ENSDARG00000098431,2.398159720253889e-19,ENSDARG00000036942,2.941532193722167e-66,ENSDARG00000051923,5.3777071874997425e-179,ENSDARG00000037267,2.164360659805691e-14,ENSDARG00000002131,2.4831056397801446e-235,ENSDARG00000019117,3.515392796512269e-124,ENSDARG00000078308,2.5560201981174646e-210,ENSDARG00000008188,0.0,ENSDARG00000033364,4.315835964908881e-24,ENSDARG00000088140,5.66682481717167e-09,ENSDARG00000063095,2.0901655195746936e-12,ENSDARG00000005423,1.272324439818514e-84,ENSDARG00000019117,1.8836019573261798e-23,ENSDARG00000019228,1.6716394213031866e-35,ENSDARG00000020143,1.8323061630488681e-62,ENSDARG00000023151,2.581843753680539e-07,ENSDARG00000018782,5.574189471815606e-06,ENSDARG00000009153,2.305740256546981e-128,ENSDARG00000058108,1.223157401805251e-11,ENSDARG00000058548,2.7492082987695635e-109,ENSDARG00000018491,2.361305779576151e-68,ENSDARG00000037079,4.051516696074142e-15,ENSDARG00000101602,1.0953438465434729e-08
